Observation Location,RSS,XML,State,latitude,longitude
"Alabaster, Shelby County Airport (KEET)",KEET.rss,KEET.xml,AL,33.17833,-86.78167
"Albertville, Albertville Municipal Airport (K8A0)",K8A0.rss,K8A0.xml,AL,34.22889,-86.25556
"Alexander City, Thomas C Russell Field Airport (KALX)",KALX.rss,KALX.xml,AL,32.91472,-85.96278
"Andalusia, Andalusia-Opp Municipal Airport (K79J)",K79J.rss,K79J.xml,AL,31.3,-86.38333
Anniston Metro Airport (KANB),KANB.rss,KANB.xml,AL,33.59045,-85.84789
Auburn-Opelika Airport (KAUO),KAUO.rss,KAUO.xml,AL,32.61667,-85.43333
Bessemer Airport (KEKY),KEKY.rss,KEKY.xml,AL,33.3126,-86.9263
"Birmingham, Birmingham International Airport (KBHM)",KBHM.rss,KBHM.xml,AL,33.56556,-86.745
Cairns Army Air Field / Ozark (KOZR),KOZR.rss,KOZR.xml,AL,31.27672,-85.71099
Craig Field / Selma (KSEM),KSEM.rss,KSEM.xml,AL,32.35,-86.98333
Cullman Regional Folsom Field (KCMD),KCMD.rss,KCMD.xml,AL,34.2687,-86.858
"Decatur, Pryor Field (KDCU)",KDCU.rss,KDCU.xml,AL,34.65806,-86.94333
Demopolis Municipal Airport (KDYA),KDYA.rss,KDYA.xml,AL,32.4638,-87.9541
"Dothan, Dothan Regional Airport (KDHN)",KDHN.rss,KDHN.xml,AL,31.32139,-85.44972
Enterprise Municipal Airport (KEDN),KEDN.rss,KEDN.xml,AL,31.2982,-85.9048
Eufaula Municipal Airport (KEUF),KEUF.rss,KEUF.xml,AL,31.951,-85.129
"Evergreen, Middleton Field (KGZH)",KGZH.rss,KGZH.xml,AL,31.41889,-87.04806
"Florala, Florala Municipal Airport (K0J4)",K0J4.rss,K0J4.xml,AL,31.0425,-86.31167
"Fort Payne, Isbell Field Airport (K4A9)",K4A9.rss,K4A9.xml,AL,34.47361,-85.72139
"Fort Rucker, Lowe Army Heliport (KLOR)",KLOR.rss,KLOR.xml,AL,31.35889,-85.74833
"Gadsden, Gadsden Municipal Airport (KGAD)",KGAD.rss,KGAD.xml,AL,33.96667,-86.08333
"Haleyville, Posey Field Airport (K1M4)",K1M4.rss,K1M4.xml,AL,34.28028,-87.60028
Hanchey AHP / Ozark (KHEY),KHEY.rss,KHEY.xml,AL,31.35,-85.66667
"Huntsville, Huntsville International / Jones Field (KHSV)",KHSV.rss,KHSV.xml,AL,34.64361,-86.78556
"Huntsville, Madison County Executive Airport (KMDQ)",KMDQ.rss,KMDQ.xml,AL,34.86139,-86.55722
Jack Edwards Airport (KJKA),KJKA.rss,KJKA.xml,AL,30.2896,-87.6718
Jasper Walker County Airport & Bevill Field (KJFX),KJFX.rss,KJFX.xml,AL,33.902,-87.31417
Mac Crenshaw Memorial Airport (KPRN),KPRN.rss,KPRN.xml,AL,31.8457,-86.6107
Maxwell Air Force Base / Montgomery (KMXF),KMXF.rss,KMXF.xml,AL,32.38333,-86.36667
Merkel Field Sylacauga Municipal Airport (KSCD),KSCD.rss,KSCD.xml,AL,33.1718,-86.3055
"Mobile, Mobile Downtown Airport (KBFM)",KBFM.rss,KBFM.xml,AL,30.61389,-88.06333
"Mobile, Mobile Regional Airport (KMOB)",KMOB.rss,KMOB.xml,AL,30.68833,-88.24556
"Montgomery, Dannelly Field (KMGM)",KMGM.rss,KMGM.xml,AL,32.30028,-86.40611
"Muscle Shoals, North West Alabama Regional Airport (KMSL)",KMSL.rss,KMSL.xml,AL,34.74389,-87.59944
Prattville - Grouby Field (K1A9),K1A9.rss,K1A9.xml,AL,32.4387,-86.5127
Redstone Airfield (KHUA),KHUA.rss,KHUA.xml,AL,34.6786,-86.6847
